question,domain,consistency_mean,consistency_variance,prob_mean,prob_min,prob_std,prob_mean_variance,entropy_mean,entropy_max,prob_trajectory,label
In what year did Claudius become Roman Emperor?,history,0.3167,0.1581,-1.186,-2.4771,0.8798,0.6268,1.3179,1.5015,0.1667,1
What is the term for the boundary around a black hole beyond which nothing can escape?,science,0.6,0.24,-0.4763,-2.0141,0.5302,0.2451,1.3419,1.528,-0.0265,0
Is 97 a prime number?,math,0.3667,0.21,-0.8684,-2.3828,0.8086,0.5642,1.3233,1.5255,0.0937,0
In what year did Mehmed V become Ottoman Sultan?,history,1.0,0.0,-0.2479,-0.4,0.1017,0.0004,1.3237,1.4916,-0.0095,0
What is 45 percent of 200?,math,1.0,0.0,-0.2174,-0.3977,0.0997,0.0014,1.303,1.5403,-0.0668,0
What is the derivative of x cubed?,math,0.3667,0.21,-0.8102,-2.491,0.794,0.4818,1.3245,1.5403,-0.1536,1
What is the atomic number of terbium?,science,0.6,0.24,-0.5367,-2.2987,0.6699,0.374,1.3138,1.5133,0.2148,0
What is the name of the effect where light striking a metal surface releases electrons?,science,0.6,0.24,-0.4931,-2.3592,0.6224,0.3281,1.3225,1.5451,-0.0427,0
Who was the first European credited with reaching the Americas via a Viking voyage?,history,1.0,0.0,-0.2388,-0.3956,0.1062,0.0009,1.3414,1.5056,0.0219,0
What is the atomic number of lutetium?,science,1.0,0.0,-0.2107,-0.3798,0.1069,0.0001,1.3292,1.5462,-0.002,0
What is the formula for Bayes theorem?,math,0.3,0.1433,-0.9476,-2.3293,0.7126,0.3793,1.3076,1.5479,-0.1225,1
What is the chemical symbol for nitrogen?,science,0.3667,0.21,-0.7229,-2.3345,0.7113,0.4221,1.3156,1.5268,0.0697,1
In what year was the Battle of Franklin during the American Civil War?,history,0.45,0.1392,-1.3066,-2.4827,0.7221,0.297,1.332,1.4812,-0.0315,1
What is 60 percent of 45?,math,0.3167,0.1581,-1.1703,-2.4848,0.8849,0.6569,1.3251,1.546,-0.0835,1
"Is argon classified as a metal, nonmetal, or metalloid?",science,1.0,0.0,-0.2175,-0.3941,0.1126,0.0013,1.3134,1.4709,0.0069,0
What is the atomic number of palladium?,science,0.3667,0.21,-0.7585,-2.4749,0.7741,0.465,1.3078,1.4784,0.0949,1
What is the chemical formula for glycerol?,science,0.3833,0.2225,-0.803,-2.4922,0.7896,0.5139,1.3437,1.4925,-0.011,0
What is the square root of 841?,math,0.3667,0.21,-0.845,-2.4949,0.7908,0.519,1.3087,1.5342,-0.1678,1
What is 1599 divided by 39?,math,0.6,0.24,-0.5466,-2.2423,0.6633,0.3946,1.3024,1.4828,-0.0423,0
What was the significance of the Bill of Rights of 1689 in England?,history,0.3889,0.194,-0.7678,-2.4411,0.7094,0.4064,1.3245,1.5379,0.0281,0
In what year did John become monarch of England or Britain?,history,1.0,0.0,-0.2446,-0.3692,0.094,0.0003,1.3238,1.5443,-0.0003,0
What is the atomic number of xenon?,science,0.3833,0.2225,-0.7264,-2.4711,0.7448,0.4455,1.3204,1.5247,-0.0889,0
In what year did the Battle of Trafalgar take place?,history,0.3667,0.21,-0.8064,-2.3278,0.7947,0.5276,1.314,1.4814,-0.0131,0
What is 38 multiplied by 12?,math,0.6,0.24,-0.5445,-2.3571,0.6304,0.3581,1.3321,1.5282,-0.035,0
In what year did Argentina gain independence?,history,0.3167,0.1581,-1.0823,-2.3891,0.7929,0.4786,1.3272,1.4695,0.1951,0
What is 24 multiplied by 59?,math,1.0,0.0,-0.228,-0.3999,0.1046,0.0002,1.3225,1.5195,-0.0655,0
What is 45 multiplied by 75?,math,0.3667,0.21,-0.7694,-2.4397,0.783,0.5069,1.3169,1.4999,-0.0504,1
In what year was the Battle of Guadalcanal?,history,0.3667,0.21,-0.7679,-2.4657,0.7691,0.481,1.3259,1.4829,0.1828,1
What is the chemical formula for lithium hydroxide?,science,0.3167,0.1581,-1.0313,-2.4611,0.7925,0.4966,1.3319,1.526,0.0427,0
What is the term for a reaction rate law that depends on the concentration of one reactant to the first power?,science,0.3952,0.1896,-0.6919,-2.2323,0.6502,0.3464,1.3288,1.4981,-0.0555,0
In what year did Mary I become monarch of England or Britain?,history,1.0,0.0,-0.2302,-0.3976,0.1016,0.0017,1.3148,1.5336,-0.0383,0
What is the chemical symbol for palladium?,science,0.3833,0.2225,-0.8323,-2.4271,0.7766,0.5104,1.3193,1.4874,0.0112,0
"In what year, approximately, did the Shang dynasty begin in China?",history,0.6267,0.2091,-0.4909,-2.2074,0.5361,0.2429,1.3236,1.5291,-0.0166,0
What is 26 multiplied by 14?,math,0.6,0.24,-0.4789,-2.2488,0.5739,0.2698,1.3254,1.5419,-0.0929,0
What is the mean of 4 8 15 16 23?,math,0.6,0.24,-0.591,-2.4273,0.7541,0.5051,1.3156,1.5297,-0.0648,0
